044656133,H
044656206,H
044656440,H
044656199,A
044656377,A
044656501,A
044656240,A
044656317,A
044656556,A
044655992,H
044656280,A
044656067,H
044655981,A
044656006,A
044656153,A
044656349,A
044656362,A
044656490,A
044656024,A
044656103,A
044656236,A
044656319,A
044656487,A
044656044,A
044656099,A
044656238,A
044656401,A
044656449,A
044656088,H
044656197,H
044656270,H
044656288,H
044656348,H
044656423,H
044655961,H
044656073,A
044656194,A
044656227,A
044656312,A
044655995,A
044656262,H
044655998,H
044656503,H
044656553,H
044656208,A
044656296,A
044656324,A
044656339,A
044656384,A
044656432,H
044656454,H
044656546,A
044656059,H
044656179,H
044656201,H
044655983,H
044656039,H
044656075,A
044656303,A
044656277,H
044656292,H
044656407,H
044656450,A
044656230,A
044656267,A
044656283,A
044656307,A
044656373,A
044656463,A
044656559,A
044655991,A
044656093,A
044656157,A
044656115,H
044656496,A
044656412,H
044656352,H
044656403,H
044656064,H
044656564,H
044656214,A
044656211,A
044656316,A
044656433,A
044656452,A
044656517,H
044656417,H
044655962,H
044656077,H
044656124,H
044656219,H
044656225,H
044656513,H
044656531,H
044656178,A
044656012,A
044656355,A
044656391,A
044656264,A
044656334,A
044656542,A
044656041,A
044656152,A
044656181,A
044656308,A
044656416,A
044656042,A
044656116,A
044656467,A
044656053,H
044656217,H
044656356,H
044656166,A
044656332,A
044655978,A
044656001,A
044656043,A
044656063,A
044656187,A
044656278,A
044656347,A
044655959,A
044656083,A
044656148,A
044656193,A
044656246,A
044656210,H
044656422,A
044656029,H
044656114,H
044656529,H
044655994,H
044656241,H
044656368,A
044656405,A
044656418,A
044656521,A
044655972,A
044656091,H
044656101,H
044656108,H
044656122,H
044656128,H
044656135,H
044656155,H
044656190,H
044656013,A
044656285,A
044656561,H
044656090,A
044656200,A
044656507,H
044656102,A
044656120,A
044656139,A
044656180,A
044656488,A
044656511,A
044656435,H
044655986,A
044656154,H
044656473,H
044656068,A
044656147,A
044656374,A
044656438,A
044656065,H
044656132,H
044656058,H
044656149,H
044656457,H
044656087,A
044656396,A
044656410,A
044656232,A
044656287,A
044655949,H
044656119,A
044656207,A
044656271,A
044656301,A
044656394,A
044656402,A
044656408,A
044656453,A
044656560,A
044656143,A
044656397,A
044656019,H
044656233,H
044656249,H
044656469,H
044656493,H
044656562,H
044656035,A
044656477,A
044656552,A
044656480,A
044656548,A
044656557,A
044655955,A
044656414,A
044656441,A
044656523,A
044655979,H
044656126,H
044656163,H
044656338,H
044656530,H
044656243,A
044656255,A
044656376,A
044656276,A
044656539,A
044656555,A
044656392,A
044656413,A
044656471,A
044656009,H
044656269,A
044656176,H
044656183,H
044656261,H
044656169,A
044656313,A
044656335,A
044656455,A
044656476,A
044656545,A
044656231,A
044656295,A
044656426,A
044656489,A
044656554,A
044656462,H
044656146,H
044656390,H
044655977,H
044656318,H
044656364,H
044656258,A
044656425,A
044656331,A
044656360,A
044656378,A
044655950,H
044656159,H
044656198,H
044655943,A
044656343,A
044656430,A
044655976,A
044656141,A
044656385,A
044656516,A
044656565,A
044655965,H
044656320,H
044656398,H
044655974,H
044655996,A
044656016,A
044656456,A
044655940,A
044656245,A
044656326,A
044656363,A
044656444,A
044655973,A
044656177,A
044656185,A
044655964,A
044656049,H
044656112,H
044656186,H
044656011,H
044656104,A
044656434,A
044656074,H
044656151,H
044656162,H
044656506,H
044656017,A
044656050,A
044656479,H
044656512,H
044656140,A
044656428,A
044656372,A
044656439,A
044656534,A
044655990,A
044656105,H
044656034,A
044656294,A
044656311,A
044656113,H
044656138,H
044656257,H
044656310,H
044656544,A
044656259,A
044656321,A
044656406,A
044656484,A
044656305,H
044656076,A
044656129,A
044656107,H
044656502,A
044656216,H
044656299,H
044655956,H
044656018,H
044656235,H
044656242,H
044656026,H
044656071,H
044655997,A
044656251,A
044656381,A
044656032,A
044656239,A
044656281,A
044656309,A
044655942,H
044656100,H
044656247,H
044656442,H
044656342,H
044656451,H
044656096,A
044656549,H
044656436,A
044656248,A
044656520,A
044656221,A
044656274,H
044655980,A
044656025,A
044656127,A
044656136,A
044656253,A
044656160,A
044655987,A
044656358,A
044656106,H
044656226,H
044656175,A
044656297,A
044656002,H
044656304,H
044656420,H
044656036,A
044656532,A
044656443,H
044656508,A
044655969,A
044656081,H
044656089,H
044655951,A
044656191,H
044656424,H
044656464,A
044656291,A
044656491,A
044656350,H
044656000,A
044656289,A
044656495,A
044655954,A
044656524,A
044656361,H
044656004,H
044655967,A
044655945,H
044656023,H
044656499,H
044656223,A
044656325,A
