028776162,5,6
028825241,1,2
028847068,0,1
028922378,2,3
029234144,0,1
029687910,0,1
029788407,0,1
029903973,0,1
030130957,0,1
030183154,0,1
015105145,1,2
020577109,0,1
028415511,3,4
028941634,3,4
029057622,9,10
029057622,7,8
029240139,0,1
029641503,1,2
029895431,0,1
029937798,2,3
028432426,4,5
028664590,1,2
028988728,5,6
028143932,2,3
029347369,0,1
029723157,3,4
029723157,0,1
029882078,0,1
030382231,0,1
028465840,0,1
030815112,7,8
030158993,8,9
013262371,3,4
030726203,4,5
030877099,1,2
028845865,5,6
025872264,3,4
029366361,3,4
029486893,1,2
030415737,1,2
029379800,1,2
027767629,1,2
025153287,3,4
027242271,0,1
029527415,4,5
029528116,3,4
029634997,0,1
029646161,0,1
029691128,0,1
030745514,0,1
008191001,3,4
018528844,2,3
030862359,1,2
030178319,0,1
017482371,4,5
020319762,5,6
020413646,3,4
021503346,4,5
021949282,3,4
025521983,0,1
026018993,0,1
026429892,3,4
026634897,3,4
027466705,4,5
027889877,4,5
029269678,0,1
029594509,2,3
029707789,7,8
029723621,0,1
029914905,0,1
030367741,7,8
021866643,0,1
023367743,2,3
024956140,3,4
028425014,0,1
028438121,0,1
029288272,9,10
029430625,3,4
029521711,3,4
029564982,5,6
029650166,5,6
029968172,4,5
030348972,0,1
030550862,0,1
025143664,1,2
029201610,1,2
030509036,1,2
023858359,3,4
024653043,8,9
026358232,5,6
027341913,4,5
027686044,4,5
023666165,4,5
023666165,5,6
027683438,3,4
028131139,5,6
028414979,4,5
029442092,1,2
029765685,4,5
024084230,5,6
028222348,2,3
030772616,0,1
030831686,1,2
029385655,2,3
030799493,1,2
029732559,4,5
030836241,1,2
030715208,1,2
030671146,0,1
030739109,0,1
030860660,0,1
018868902,0,1
030428981,1,2
030428981,0,1
030072728,1,2
030396093,0,1
029771024,2,3
030565759,3,4
026418351,2,3
027474755,1,2
028017878,1,2
026056080,4,5
026839631,0,1
022678414,3,4
029929238,1,2
030644443,1,2
023328197,1,2
029943659,1,2
030078200,0,1
029784846,3,4
030103737,1,2
029952138,1,2
030307703,5,6
030777297,4,5
030890232,0,1
019207783,1,2
020037357,1,2
022144257,2,3
022178164,3,4
027332822,0,1
030475200,1,2
029020631,0,1
030754786,1,2
030272492,1,2
016023989,4,5
030354001,5,6
026559011,7,8
028173946,2,3
029216311,2,3
027989279,6,7
028933018,4,5
029532354,0,1
028220020,5,6
028335830,2,3
028422610,1,2
028650162,0,1
028760466,2,3
028919776,3,4
020728195,1,2
025126874,0,1
028932558,7,8
030291046,1,2
026981221,1,2
027902870,0,1
030015937,1,2
030386636,1,2
028820255,1,2
030899340,5,6
030922722,1,2
030758484,2,3
030807004,1,2
030024276,1,2
030822483,1,2
030399862,2,3
030429557,0,1
029101658,4,5
027064292,1,2
026330970,2,3
027027310,1,2
030589507,2,3
023942154,4,5
030745695,1,2
029913965,5,6
030701165,5,6
030766899,4,5
026044785,1,2
028458150,1,2
029666620,1,2
030987352,1,2
017123828,1,2
022632634,2,3
028611670,1,2
029887591,0,1
029281266,3,4
030727036,4,5
030839854,0,1
030657881,6,7
030869266,0,1
030916358,2,3
028106773,1,2
029169934,1,2
028053508,1,2
029478067,1,2
030205177,1,2
030905413,4,5
029552001,1,2
030195753,0,1
030882597,0,1
029683519,2,3
030596485,1,2
030657609,3,4
029856168,3,4
026320080,5,6
030947591,4,5
030324464,1,2
030034599,2,3
030889735,3,4
029387941,1,2
027537655,2,3
030197491,2,3
030578564,3,4
030690996,1,2
030922430,1,2
030950322,1,2
012487932,2,3
016049472,2,3
017247548,1,2
017841977,2,3
018133340,2,3
019050195,1,2
020272855,4,5
020272855,1,2
021864714,1,2
022087492,3,4
022133986,2,3
022881990,0,1
023016367,0,1
023102890,0,1
023128798,0,1
023161289,2,3
023815098,0,1
024222496,2,3
024633674,0,1
024675303,0,1
024800284,0,1
024888818,0,1
025701830,0,1
025930572,4,5
025930572,0,1
026261238,3,4
026288502,1,2
026639761,1,2
026756752,0,1
027294779,2,3
027432755,0,1
027432755,4,5
027441666,0,1
027546008,0,1
027859552,0,1
027886303,0,1
028053803,2,3
028077743,0,1
028203222,0,1
028372779,1,2
028428605,0,1
028492559,2,3
028508456,0,1
028566236,0,1
028638830,0,1
023409187,0,1
024290032,0,1
026888889,0,1
027178998,0,1
027779429,0,1
028142185,0,1
028556113,0,1
029217928,1,2
029506307,0,1
029523771,3,4
029681910,0,1
029727840,0,1
029737555,3,4
029783689,2,3
030047841,2,3
030272927,0,1
030319516,1,2
030484677,5,6
030484677,0,1
029982442,2,3
030630365,3,4
030741911,2,3
030638873,0,1
027646060,1,2
030615420,6,7
026639666,5,6
030366020,2,3
021700431,3,4
030809123,2,3
030898715,0,1
030908297,0,1
030940117,2,3
028881562,1,2
030671952,1,2
029469898,2,3
030738989,4,5
030784188,1,2
030230612,2,3
030691386,0,1
030713537,0,1
009403344,1,2
018940121,1,2
029261110,0,1
030762113,6,7
030425539,1,2
030691845,2,3
030345746,2,3
019740521,1,2
029737534,0,1
030710407,1,2
030916229,0,1
025299275,0,1
027849980,1,2
030353468,1,2
030633782,3,4
023462738,1,2
028872002,0,1
030256720,3,4
029661856,1,2
027384969,1,2
028174277,1,2
004251855,2,3
019854632,2,3
020599780,2,3
021026056,5,6
022549314,3,4
025664958,0,1
027741422,0,1
030249245,5,6
025830281,3,4
027776756,0,1
028843657,1,2
028859401,0,1
028965946,2,3
029170231,1,2
030231410,0,1
028387516,0,1
029245953,0,1
029829638,1,2
029943272,2,3
016940412,2,3
029832129,6,7
028615632,2,3
030082655,0,1
029035615,1,2
021825964,2,3
022145898,1,2
022864729,3,4
