025755725,Carstar Collision Care of Southgate,1,Billing Provider,Requested,108.96,COLLISION CARE OF NEWPORT INC,139392,2970336KYTAS20,Direct Repair Facility,,3564355,cc:3564355
025746919,Capital Toyota,1,Billing Provider,Awaiting submission,1192.05,RRR BOWIE LLC TA CAPITAL TOYOTA,456140,2970336MDTZ236,Direct Repair Facility,,3562142,cc:3562142
025746438,GERBER COLLISION TRAVEL CENTER,1,Billing Provider,Awaiting submission,1279.29,GERBER COLLISION TRAVEL CENTER,491447,2970647AZTX079,Direct Repair Facility,,3561326,cc:3561326
025719780,ATLAS AUTO BODY,1,Billing Provider,Issued,150,ATLAS AUTOMOTIVE,57418,2970108MAT2730,Direct Repair Facility,31072682,3545104,cc:3545104
025719494,COOKS COLLISION OF FAIRFIELD,1,Billing Provider,Voided,597.1,COOKS COLLISION OF ELK GROVE,557617,2970631CATX899,Direct Repair Facility,,3544546,cc:3544546
025719494,COOKS COLLISION OF FAIRFIELD,1,Billing Provider,Voided,597.1,COOKS COLLISION OF ELK GROVE,557617,2970631CATX899,Direct Repair Facility,,3544546,cc:3544546
025719213,ANTIOCH AB,1,Billing Provider,Issued,1900.03,ANTIOCH AB,411195,2970631CAT3146,Direct Repair Facility,31085410,3544042,cc:3544042
025714973,DELAWARE CADILLAC AB,1,Billing Provider,Issued,491.95,DELAWARE CADILLAC AB,359200,2970306DET0414,Direct Repair Facility,31074789,3538584,cc:3538584
025706609,CROWN COLLISION EAGLE MOUNTAIN,2,Billing Provider,Issued,3779.65,CROWN COLLISION EAGLE MOUNTAIN,398212,2970980TXPN5474,Direct Repair Facility,31070742,3536882,cc:3536882
025706486,CAPITAL COLLISION INC,1,Billing Provider,Issued,6725.7,CAPITAL COLLISION INC,146679,2970647WATAB35,Direct Repair Facility,31071673,3536356,cc:3536356
025703566,OLENDER'S AUTO BODY OF ENFIELD REGION,1,Billing Provider,Issued,3014.88,OLENDERS BODY SHOP,262625,2970179CTT8895,Direct Repair Facility,31072502,3533598,cc:3533598
025703503,COOKS COLLISION OF DUBLIN,1,Billing Provider,Transferred,596.96,COOKS COLLISION OF ELK GROVE,135859,2970631CATL997,Direct Repair Facility,31057863,3533348,cc:3533348
025703503,COOKS COLLISION OF DUBLIN,1,Billing Provider,Transferred,596.96,COOKS COLLISION OF ELK GROVE,135859,2970631CATL997,Direct Repair Facility,31057863,3533348,cc:3533348
025702005,BROTHERS AUTOBODY,2,Billing Provider,Issued,3632.39,BROTHERS AUTOBODY,429044,NCCC179NH09210,Direct Repair Facility,31074825,3530626,cc:3530626
025701090,COLLISION CENTERS OF AMERICA,2,Billing Provider,Issued,3711.38,COLLISION CENTERS OF AMERICA,580004,2970469ILTV590,Direct Repair Facility,31089671,3529242,cc:3529242
025700737,McDonald Auto Body,1,Billing Provider,Issued,3310.34,BRADYGIRLS CORP,217521,2970336MDT9846,Direct Repair Facility,31073616,3528683,cc:3528683
025691605,Collex Collision Experts,1,Billing Provider,Issued,1361.07,COLLEX OF ROCHESTER,419836,2970469MIT1697,Direct Repair Facility,31056463,3525668,cc:3525668
025689444,HICKS AUTO BODY INC,1,Billing Provider,Issued,162.07,HICKS AUTO BODY INC,301349,2970108MAT1545,Direct Repair Facility,31085365,3523595,cc:3523595
025689348,COLLEX COLLISION NAPLES,2,Billing Provider,Requested,304.75,COLLEX COLLISION NAPLES,464407,2970508FLTW224,Direct Repair Facility,,3523543,cc:3523543
025689348,COLLEX COLLISION NAPLES,1,Billing Provider,Issued,5133.59,COLLEX COLLISION NAPLES,464407,2970508FLTW224,Direct Repair Facility,31075685,3523543,cc:3523543
025688011,BODY CRAFT USA,1,Billing Provider,Cleared,0,BODY CRAFT USA,87787,2970508FLT4479,Direct Repair Facility,0,3521719,cc:3521719
025687315,42 COLLISION CENTER,1,Billing Provider,Issued,31.48,42 COLLISION CENTER,539805,TCCC508NC57905,Direct Repair Facility,31052785,3520075,cc:3520075
025686997,MIKES AUTO BODY,1,Billing Provider,Issued,1014.39,RIZK MICHAEL & JANOVSKY EDWARD,11652,2970306NJT1923,Direct Repair Facility,31055089,3519351,cc:3519351
025686953,SERVICE KING PAINT AND BODY LLC,2,Billing Provider,Issued,508.91,SERVICE KING HOLDINGS INC,344504,2970647AZT4113,Direct Repair Facility,31090414,3519593,cc:3519593
025686953,SERVICE KING PAINT AND BODY LLC,1,Billing Provider,Issued,5788.14,SERVICE KING HOLDINGS INC,344504,2970647AZT4113,Direct Repair Facility,31062318,3519593,cc:3519593
025686407,Collision Revision Inc,1,Billing Provider,Issued,2028.08,COLLISION REVISION INC,357638,2970469INTAF81,Direct Repair Facility,31079842,3518262,cc:3518262
025678662,LaMettry's Collision,1,Billing Provider,Issued,3856.63,LAMETTRY'S COLLISION,413261,2970469MNT1451,Direct Repair Facility,31061581,3517772,cc:3517772
025677371,TOWN & COUNTRY COLLISION,1,Billing Provider,Issued,5746.02,TOWN & COUNTRY COLLISION,53440,2970306NJT6147,Direct Repair Facility,31074865,3515659,cc:3515659
025666141,NJ AUTO ART INC,1,Billing Provider,Issued,580,NJ AUTO ART INC,283632,2970306NJTF394,Direct Repair Facility,31036834,3512976,cc:3512976
025665725,Security Autobody,1,Billing Provider,Cleared,517.01,LORDS COLLISION EXPERTS TA SECURITY AUTO,525900,2970336MDTZ639,Direct Repair Facility,31047148,3512304,cc:3512304
